id,name,lat,long,updatedDate,numBikes,numEmptyDocks,installed,locked,installedDate
131,"Eversholt Street , Camden Town",51.53300545,-0.136792671,2020-10-05 13:19:00,8,8,true,false,2010-07-15 14:08:00
132,"Bethnal Green Road, Shoreditch",51.52364804,-0.074754872,2020-10-05 13:19:00,25,13,true,false,2010-07-15 14:12:00
133,"Derry Street, Kensington",51.50136494,-0.191462381,2020-10-05 13:19:00,15,3,true,false,2010-07-15 14:24:00
134,"Wapping High Street, Wapping",51.504904,-0.06797,2020-10-05 13:19:00,9,9,true,false,2010-07-15 14:35:00
135,"Clerkenwell Green, Clerkenwell",51.52326004,-0.104708922,2020-10-05 13:19:00,15,5,true,false,2010-07-15 14:38:00
136,"Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,2020-10-05 13:19:00,17,12,true,false,2010-07-15 14:40:00
138,"Green Street, Mayfair",51.51227622,-0.157436972,2020-10-05 13:19:00,10,7,true,false,2010-07-15 15:47:00
139,"Lambeth Road, Vauxhall",51.49488108,-0.117974901,2020-10-05 13:19:00,16,2,true,false,2010-07-15 15:51:00
140,"Finsbury Square , Moorgate",51.52096262,-0.085634242,2020-10-05 13:19:00,5,27,true,false,2010-07-15 15:53:00
141,"Chapel Place, Marylebone",51.51530805,-0.147203711,2020-10-05 13:19:00,20,9,true,false,2010-07-15 17:23:00
142,"West Cromwell Road, Earl's Court",51.49372451,-0.198286569,2020-10-05 13:19:00,11,13,true,false,2010-07-15 17:27:00
143,"Pont Street, Knightsbridge",51.4968865,-0.161203828,2020-10-05 13:19:00,22,2,true,false,2010-07-15 17:30:00
144,"Kennington Cross, Kennington",51.48894022,-0.111435796,2020-10-05 13:19:00,10,37,true,false,2010-07-15 17:33:00
145,"Ilchester Place, Kensington",51.50074359,-0.202759212,2020-10-05 13:19:00,13,10,true,false,2010-07-15 17:43:00
146,"Vauxhall Bridge , Pimlico",51.48836528,-0.129361842,2020-10-05 13:19:00,2,32,true,false,2010-07-15 17:46:00
148,"Tachbrook Street, Victoria",51.49211134,-0.138364847,2020-10-05 13:19:00,4,11,true,false,1970-01-01 01:00:00
149,"Kennington Road Post Office, Oval",51.48478899,-0.110683213,2020-10-05 13:19:00,4,12,true,false,2010-07-15 18:36:00
150,"Holy Trinity Brompton, Knightsbridge",51.49705603,-0.168917077,2020-10-05 13:19:00,13,15,true,false,2010-07-15 18:39:00
151,"Chepstow Villas, Notting Hill",51.51213691,-0.201554966,2020-10-05 13:19:00,4,22,true,false,2010-07-15 18:42:00
152,"Hampton Street, Walworth",51.49217002,-0.101536865,2020-10-05 13:19:00,9,11,true,false,2010-07-15 18:45:00
153,"Bayswater Road, Hyde Park",51.511933,-0.174411,2020-10-05 13:19:00,2,25,true,false,2010-07-15 18:48:00
154,"Waterloo Station 3, Waterloo",51.50379168,-0.11282408,2020-10-05 13:19:00,1,31,true,false,1970-01-01 01:00:00
155,"Lexham Gardens, Kensington",51.49586666,-0.191933711,2020-10-05 13:19:00,3,15,true,false,2010-07-16 10:31:00
156,"New Kent Road, The Borough",51.49443626,-0.092921165,2020-10-05 13:19:00,20,13,true,false,2010-07-16 10:38:00
157,"Wright's Lane, Kensington",51.50039792,-0.193068385,2020-10-05 13:19:00,30,5,true,false,2010-07-16 10:40:00
158,"Trebovir Road, Earl's Court",51.49085368,-0.196170309,2020-10-05 13:19:00,3,15,true,false,2010-07-16 10:42:00
159,"Great Marlborough Street, Soho",51.51461995,-0.137841333,2020-10-05 13:19:00,14,24,true,false,2010-07-16 10:46:00
160,"Waterloo Place, St. James's",51.50663341,-0.131773845,2020-10-05 13:19:00,10,10,true,false,2010-07-16 10:58:00
161,"Guildhouse Street, Victoria",51.49234577,-0.141334487,2020-10-05 13:19:00,2,14,true,false,2010-07-16 14:29:00
162,"Southampton Place, Holborn",51.51760685,-0.121328408,2020-10-05 13:19:00,10,10,true,false,2010-07-16 14:32:00
163,"Sloane Avenue, Knightsbridge",51.4931848,-0.167894973,2020-10-05 13:19:00,21,6,true,false,2010-07-16 14:35:00
164,"Cleveland Gardens, Bayswater",51.515607,-0.183118788,2020-10-05 13:19:00,8,6,true,false,2010-07-16 14:40:00
165,"Orsett Terrace, Bayswater",51.517932,-0.183716959,2020-10-05 13:19:00,6,9,true,false,2010-07-16 14:46:00
166,"Seville Street, Knightsbridge",51.50185512,-0.159237081,2020-10-05 13:19:00,4,23,true,false,2010-07-16 14:49:00
167,"Eccleston Place, Victoria",51.49395092,-0.147624377,2020-10-05 13:19:00,4,14,true,false,1970-01-01 01:00:00
168,"Argyll Road, Kensington",51.50040123,-0.195455928,2020-10-05 13:19:00,3,15,true,false,2010-07-16 15:10:00
169,"Porchester Place, Paddington",51.51474612,-0.165164288,2020-10-05 13:19:00,4,8,true,false,2010-07-16 15:16:00
170,"Hardwick Street, Clerkenwell",51.52784273,-0.108068155,2020-10-05 13:19:00,10,20,true,false,2010-07-16 15:23:00
171,"Collingham Gardens, Earl's Court",51.4916156,-0.186753859,2020-10-05 13:19:00,11,3,true,false,2010-07-16 15:40:00
172,"Sumner Place, South Kensington",51.49121192,-0.173715911,2020-10-05 13:19:00,10,8,true,false,2010-07-16 15:45:00
173,"Waterloo Road, South Bank",51.50486,-0.113001,2020-10-05 13:19:00,2,13,true,false,2010-07-16 16:05:00
174,"Strand, Strand",51.512529,-0.115163,2020-10-05 13:19:00,16,19,true,false,2010-07-16 16:59:00
175,"Worship Street, Shoreditch",51.521668,-0.079608554,2020-10-05 13:19:00,12,39,true,false,2018-06-22 14:43:00
176,"Gloucester Terrace, Bayswater",51.51791921,-0.188098863,2020-10-05 13:19:00,4,16,true,false,2010-07-16 17:26:00
177,"Ashley Place, Victoria",51.49616092,-0.140947636,2020-10-05 13:19:00,1,23,true,false,2010-07-16 17:29:00
178,"Warwick Square, Pimlico",51.48985626,-0.141923621,2020-10-05 13:19:00,8,11,true,false,2010-07-16 17:32:00
180,"North Audley Street, Mayfair",51.5129118,-0.153645496,2020-10-05 13:19:00,14,3,true,false,2010-07-16 17:37:00
181,"Belgrave Square, Belgravia",51.49941247,-0.152317537,2020-10-05 13:19:00,4,17,true,false,2010-07-16 17:41:00
182,"Bell Street , Marylebone",51.52202903,-0.165842551,2020-10-05 13:19:00,2,16,true,false,2010-07-17 11:39:00
183,"Riverlight North, Nine Elms",51.482362,-0.13612398,2020-10-05 13:19:00,13,10,true,false,2010-07-17 11:56:00
