id	name	lat	lon	x	y
264	Tysoe Street, Clerkenwell	51.52644342	-0.10925682800000001	531260.8400276501	182530.86693917518
265	Southwick Street, Paddington	51.51595344	-0.169249375	527128.5593460563	181258.50818714092
266	Queen's Gate (North), Kensington	51.50102668	-0.18024610100000002	526406.8491704679	179579.56028807352
267	Regency Street, Westminster	51.49206037	-0.13222462199999999	529765.2297589313	178666.43181487836
268	Belgrave Road, Victoria	51.49320445	-0.144132875	528935.349606654	178772.63297526006
269	Empire Square, The Borough	51.50082346	-0.089740764	532688.9601858539	179717.01396623696
270	Kennington Lane Rail Bridge, Vauxhall	51.4863434	-0.122492418	530457.1298756134	178047.96986661927
271	London Zoo,  The Regent's Park	51.53583617	-0.156285395	527972.3205632851	183492.1316015696
272	Baylis Road, Waterloo	51.50144456	-0.11069930900000001	531232.5499648504	179748.32693408008
273	Belvedere Road, South Bank	51.50613324	-0.114686385	530942.3999520823	180262.58781352013
274	Warwick Road, Olympia	51.49671237	-0.20528437	524680.8189634518	179056.88423980717
275	Barbican Centre, Barbican	51.52004497	-0.092176447	532464.19019805	181850.09363345138
276	Lower Thames Street, Monument	51.50930161	-0.084985356	532994.3403034586	180668.4321905403
277	Kensington Church Street, Kensington	51.50315739	-0.191496313	525620.1690781431	179797.15209572754
278	Tooley Street, Bermondsey	51.503493799999994	-0.07962099	533383.5303104874	180032.3420351317
279	North Wharf Road, Paddington	51.51862243	-0.176645823	526607.9792587174	181542.49907584107
280	Royal Avenue 2, Chelsea	51.490083	-0.162418	527674.7636400929	178393.4955940776
281	Smith Square, Westminster	51.49580589	-0.127575233	530077.329770515	179091.19074933446
282	Royal London Hospital, Whitechapel	51.51906446	-0.059642081	534724.1705426623	181800.40787709353
284	Lambeth North Station, Waterloo	51.49914063	-0.112031483	531146.6999982658	179489.73712677843
286	St. John's Wood Road, St. John's Wood	51.527294700000006	-0.174653609	526722.1392797723	182510.33893825684
